2026-02-05 14:35:34,275 INFO    MainThread:1430033 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_setup.py:_flush():80] Configure stats pid to 1430033
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_setup.py:_flush():80] Loading settings from /zhome/98/d/202490/.config/wandb/settings
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_setup.py:_flush():80] Loading settings from /zhome/98/d/202490/Documents/Thesis/ClimateDiffuse/wandb/settings
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /zhome/98/d/202490/Documents/Thesis/ClimateDiffuse/wandb/run-20260205_143534-iww37bc0/logs/debug.log
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /zhome/98/d/202490/Documents/Thesis/ClimateDiffuse/wandb/run-20260205_143534-iww37bc0/logs/debug-internal.log
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_init.py:init():841] calling init triggers
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'architecture': 'unet', 'dataset': 'full', 'epochs': 50, 'learning_rate': 0.0001, 'batch_size': 8, 'accum': 16, 'loss_fn': 'MSE', 'percentile': 95, 'sea_mask': True, 'save_checkpoint': True, 'load_checkpoint': False, '_wandb': {}}
2026-02-05 14:35:34,276 INFO    MainThread:1430033 [wandb_init.py:init():889] starting backend
2026-02-05 14:35:41,308 INFO    MainThread:1430033 [wandb_init.py:init():892] sending inform_init request
2026-02-05 14:35:41,394 INFO    MainThread:1430033 [wandb_init.py:init():900] backend started and connected
2026-02-05 14:35:41,669 INFO    MainThread:1430033 [wandb_init.py:init():970] updated telemetry
2026-02-05 14:35:41,728 INFO    MainThread:1430033 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-02-05 14:35:43,171 INFO    MainThread:1430033 [wandb_init.py:init():1041] starting run threads in backend
2026-02-05 14:35:45,318 INFO    MainThread:1430033 [wandb_run.py:_console_start():2521] atexit reg
2026-02-05 14:35:45,318 INFO    MainThread:1430033 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-02-05 14:35:45,318 INFO    MainThread:1430033 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-02-05 14:35:45,318 INFO    MainThread:1430033 [wandb_run.py:_redirect():2461] Redirects installed.
2026-02-05 14:35:45,341 INFO    MainThread:1430033 [wandb_init.py:init():1081] run started, returning control to user process
2026-02-05 14:37:59,782 INFO    wandb-AsyncioManager-main:1430033 [service_client.py:_forward_responses():80] Reached EOF.
2026-02-05 14:37:59,783 INFO    wandb-AsyncioManager-main:1430033 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
